Country,Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,AFG,0.41403,0.49098,0.68883,0.70715,0.83906,1.0076,1.0919,1.2824,1.2238,0.94165,1.6708,1.8943,1.5316,1.6378,1.9163,2.1251,1.9859,2.3889,2.1581,2.2387,1.7587,1.9822,2.0995,2.5208,2.8286,3.5064,3.14,3.1217,2.8652,2.7736,2.6747,2.4915,1.4253,1.374,1.319,1.2677,1.1981,1.1139,1.0552,0.83173,0.78043,0.64486,0.89402,1.0369,0.9563,1.3374,1.6561,2.279,4.2136,6.7711,8.4638,12.2414,12.657,12.8328,13.2411
Albania,ALB,2.0225,2.279,2.4622,2.0812,2.0152,2.1728,2.5501,2.6784,3.0704,3.2426,3.7409,4.3492,5.6389,5.2872,4.3418,4.591,4.9464,5.7158,6.4889,7.5808,5.1662,7.3353,7.3024,7.6248,7.819,7.8739,8.0498,7.4379,7.3207,8.9768,7.4819,3.9681,2.3853,2.3413,1.9273,2.0848,2.0152,1.5425,1.7514,2.9825,3.0191,3.2207,3.7483,4.2905,4.1623,4.2502,3.8619,4.4737,4.6533,4.4847,4.4115,4.6643,4.5579,4.5654,4.563
Algeria,DZA,6.1555,6.0603,5.6645,5.4227,5.6462,6.5915,8.4235,8.4345,9.0537,11.2668,15.0627,18.6534,28.3264,38.2815,31.8805,32.005,39.1388,41.8575,62.4785,45.5838,66.465,46.4009,39.2378,52.5821,71.045,72.7267,76.2149,84.0522,83.88,79.9815,78.8603,81.1539,81.8684,82.2275,86.4301,95.2677,97.052,88.1229,106.9925,92.0433,87.8591,84.2244,90.7793,92.4574,89.4199,107.0401,100.8369,109.2055,111.4845,121.2747,119.1789,121.6558,131.2985,138.0686,147.2963
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4067,0.42502,0.458,0.48365,0.51296,0.52395,0.52395,0.53128,0.53494,0.56426,0.57525,0.54594,0.53861,0.53861,0.51662,0.51662,0.49098,0.4699,0.46978,0.47225
Angola,AGO,0.5496,0.45434,1.1798,1.1505,1.2238,1.1871,1.5535,0.99294,1.6708,2.7846,3.5797,3.4075,4.5031,4.8768,4.8695,4.4115,3.2829,3.5321,5.4081,5.4997,5.3421,5.2762,4.646,5.1113,5.005,4.6972,4.6569,5.8111,5.1259,5.005,4.4261,4.3638,4.4151,5.7964,3.8875,11.003,10.4827,7.3756,7.3024,9.149,9.5337,9.7243,12.6555,9.0574,18.778,19.1407,22.2478,25.1314,27.1502,29.3376,29.7187,29.6857,30.8309,31.1827,31.5728
Anguilla,AIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.043968,0.047632,0.051296,0.062288,0.095264,0.095264,0.10259,0.12091,0.12824,0.1429,0.15022,0.15022,0.14656,0.15022,0.1429,0.14237,0.14058,0.14236
Antigua and Barbuda,ATG,0.03664,0.047632,0.10259,0.084272,0.0916,0.15022,0.34808,0.56426,0.98928,1.2568,0.46166,0.42502,0.37373,0.32976,0.42869,0.70715,0.40304,0.46533,0.49098,0.4067,0.1429,0.10626,0.29312,0.084272,0.14656,0.24915,0.24915,0.2748,0.28579,0.28579,0.30045,0.28946,0.28946,0.30411,0.31144,0.32243,0.32243,0.33709,0.33342,0.34808,0.34442,0.34442,0.36274,0.38838,0.4067,0.41037,0.42502,0.46899,0.47998,0.5093,0.52395,0.51296,0.51106,0.50463,0.51104
Argentina,ARG,48.7752,51.1384,53.652,50.0429,55.6818,58.8182,63.0868,65.4903,69.0261,77.2664,82.6672,88.8667,90.0831,93.9889,95.4912,94.8536,99.7048,100.7087,102.5554,110.6125,108.6486,101.9581,103.3395,105.1275,106.4355,100.5145,104.1272,114.8481,121.3737,116.9952,112.5214,116.9256,121.348,118.5121,123.2496,122.4472,129.112,134.5677,137.5612,145.3692,140.9614,132.5232,123.1654,133.0179,156.0424,160.8203,174.095,179.591,191.422,180.507,178.8545,189.8795,194.6223,204.0895,201.9184
Armenia,ARM,1.7292,1.7833,1.8716,2.0072,2.1347,2.2645,2.3914,2.5006,2.5708,2.6773,2.8161,2.9889,3.1453,3.2787,3.4042,3.579,3.7171,3.8438,3.976,4.0091,4.1671,4.0884,4.1657,4.2254,4.2635,4.598,4.6106,4.8048,4.9369,4.8335,4.5318,4.368,4.0487,2.8946,2.9642,3.4881,2.6051,3.2756,3.4039,3.0558,3.4625,3.5394,3.0411,3.4258,3.642,4.3492,4.3785,5.06,5.5546,4.3565,4.2136,4.9574,4.9119,4.555,4.4976
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17954,0.44701,0.61189,0.64853,1.8393,1.9273,1.7221,1.7697,1.7624,1.7807,1.799,1.8357,1.7111,1.7477,2.3193,2.356,2.3706,2.4146,2.4182,2.4952,2.4952,2.5904,2.5062,2.5208,2.4549,2.4366,2.4275,2.397,2.4274
